company,job_id,title,location,department,business_unit,work_option,url,pid
Millennium,REQ-29040,"Equity Portfolio Pricing and Analytics, Technical Business Analyst","Miami, Florida, United States of America",Operations & Middle Office,Middle Office,onsite,https://career.mlp.com/careers/job/755955930293,755955930293
Millennium,REQ-28946,Senior Portfolio Researcher,"New York, New York, United States of America",Risk Management,Portfolio Research,onsite,https://career.mlp.com/careers/job/755955753377,755955753377
Millennium,REQ-28912,Feature Framework Engineer,"New York, New York, United States of America",Information Technology,Unknown,onsite,https://career.mlp.com/careers/job/755955682418,755955682418
Millennium,REQ-28881,"Analyst, Underwriter – Asset Based Finance","Dallas, Texas, United States of America",Trading,Credit,onsite,https://career.mlp.com/careers/job/755955622440,755955622440
Millennium,REQ-28882,Analyst – Asset Based Finance,"Dallas, Texas, United States of America",Trading,Credit,onsite,https://career.mlp.com/careers/job/755955623024,755955623024
Millennium,REQ-28240,Senior Software Engineer - EQ Derivatives Pricing & Risk,"New York, New York, United States of America",Information Technology,Equity IT,onsite,https://career.mlp.com/careers/job/755954587117,755954587117
Millennium,REQ-28499,Business Unit Control - Treasury,"New York, New York, United States of America",Operations & Middle Office,Middle Office,onsite,https://career.mlp.com/careers/job/755954991882,755954991882
Millennium,REQ-28439,Salesforce Team Lead,"New York, New York, United States of America",Information Technology,FIC & Risk Technology,onsite,https://career.mlp.com/careers/job/755954905556,755954905556
Millennium,REQ-28437,"Technical Lead, MFT MDE Analytics Engineering","New York, New York, United States of America",Information Technology,Equity IT,onsite,https://career.mlp.com/careers/job/755954905529,755954905529
Millennium,REQ-28109,Full Stack Engineer - Equities Autocallables,"Miami, Florida, United States of America",Information Technology,FIC & Risk Technology,onsite,https://career.mlp.com/careers/job/755954367614,755954367614
Millennium,REQ-28374,Compliance Officer,"New York, New York, United States of America",Compliance,Compliance Advisory,onsite,https://career.mlp.com/careers/job/755954850275,755954850275
Millennium,REQ-28395,Senior Payroll Manager,"New York, New York, United States of America",Human Resources,People Services,onsite,https://career.mlp.com/careers/job/755954854372,755954854372
Millennium,REQ-28360,"Accounting Manager, Transaction Accounting Advisory","New York, New York, United States of America",Finance,Financial Reporting & Accounting Policy,onsite,https://career.mlp.com/careers/job/755954777342,755954777342
Millennium,REQ-28334,Portfolio Manager Engagement - Fixed Income Technology,"New York, New York, United States of America",Information Technology,FIC & Risk Technology,onsite,https://career.mlp.com/careers/job/755954744530,755954744530
Millennium,REQ-28310,Senior High Frequency C++ Engineer,"New York, New York, United States of America",Information Technology,Unknown,onsite,https://career.mlp.com/careers/job/755954694645,755954694645
Millennium,REQ-28312,Senior ‘Developer Infrastructure’ Engineer,"New York, New York, United States of America",Information Technology,Unknown,onsite,https://career.mlp.com/careers/job/755954695574,755954695574
Millennium,REQ-28127,Quantitative Developer (C++) -  Central Liquidity Strategies,"New York, New York, United States of America",Execution Services,Electronic Trading Solutions,onsite,https://career.mlp.com/careers/job/755954374057,755954374057
Millennium,REQ-28055,Senior Execution Quantitative Analyst - Fixed Income,"New York, New York, United States of America",Execution Services,Electronic Trading Solutions,onsite,https://career.mlp.com/careers/job/755954333818,755954333818
Millennium,REQ-27979,Quantitative Developer (Python) -  Central Liquidity Strategies,"New York, New York, United States of America",Execution Services,Central Execution Book,onsite,https://career.mlp.com/careers/job/755954183338,755954183338
Millennium,REQ-27950,US Healthcare Origination Associate,"New York, New York, United States of America",Execution Services,Platform Solutions and Execution Management,onsite,https://career.mlp.com/careers/job/755954039448,755954039448
Millennium,REQ-27612,Finance Analyst,"New York, New York, United States of America",Finance,Financial Planning & Analysis,onsite,https://career.mlp.com/careers/job/755953760149,755953760149
Millennium,REQ-27497,Fund Accounting Manager,"New York, New York, United States of America",Finance,Fund Accounting,onsite,https://career.mlp.com/careers/job/755953514852,755953514852
Millennium,REQ-25191,Compliance Analyst,"New York, New York, United States of America",Compliance,Compliance Surveillance Program,onsite,https://career.mlp.com/careers/job/755943260072,755943260072
Millennium,REQ-25457,"Quantitative Researcher, Systematic Macro","New York, New York, United States of America",Trading,Quant Strategies,onsite,https://career.mlp.com/careers/job/755943671775,755943671775
Millennium,REQ-31007,Market Data Engineer,"London, United Kingdom",Information Technology,Equity IT,onsite,https://career.mlp.com/careers/job/755958613268,755958613268
Millennium,REQ-31047,Fixed Income Valuation Analytics,"London, United Kingdom",Operations & Middle Office,Middle Office,onsite,https://career.mlp.com/careers/job/755958617502,755958617502
Millennium,REQ-30839,Compliance Analyst,"Bangalore, Karnataka, India",Compliance,Unknown,onsite,https://career.mlp.com/careers/job/755958578138,755958578138
Millennium,REQ-30843,Repo Trader,"Tokyo, Tokyo, Japan",Fixed Income Management; Trading,Fixed Income,onsite,https://career.mlp.com/careers/job/755958579490,755958579490
Millennium,REQ-30844,AI Support Engineer,"Dublin, Ireland",Information Technology,IT Infrastructure,onsite,https://career.mlp.com/careers/job/755958581607,755958581607
Millennium,REQ-30829,C++ Developer,"Geneva, Switzerland",Information Technology,FIC & Risk Technology,onsite,https://career.mlp.com/careers/job/755958567206,755958567206
Millennium,REQ-30793,Linux Low Latency Systems Engineer,"Singapore, Singapore",Information Technology,Equity IT,onsite,https://career.mlp.com/careers/job/755958456084,755958456084
Millennium,REQ-30813,Data Center Engineer,"Mumbai, Maharashtra, India",Information Technology,IT Infrastructure,onsite,https://career.mlp.com/careers/job/755958563745,755958563745
Millennium,REQ-30775,Data Center Operations Analyst,"Bangalore, Karnataka, India",Information Technology,IT Infrastructure,onsite,https://career.mlp.com/careers/job/755958437206,755958437206
Millennium,REQ-30783,Linux Low Latency Systems Engineer,"Hong Kong, Hong Kong",Information Technology,Equity IT,onsite,https://career.mlp.com/careers/job/755958440031,755958440031
Millennium,REQ-30772,AI DevOps Engineer,"Singapore, Singapore",Information Technology,IT Infrastructure,onsite,https://career.mlp.com/careers/job/755958425590,755958425590
Millennium,REQ-30767,Business Manager - International Operations,"London, United Kingdom",Administration,Middle Office,onsite,https://career.mlp.com/careers/job/755958407266,755958407266
Millennium,REQ-30763,"Risk Controls Manager, Asia","Hong Kong, Hong Kong",Risk Management,Risk Management,onsite,https://career.mlp.com/careers/job/755958390273,755958390273
Millennium,REQ-30764,Paralegal (Fixed Term Contract),"London, United Kingdom",Legal,Legal,onsite,https://career.mlp.com/careers/job/755958399810,755958399810
Millennium,REQ-30268,Cloud Engineer,"Tel Aviv, Israel",Information Technology,IT Infrastructure,onsite,https://career.mlp.com/careers/job/755957818104,755957818104
Millennium,REQ-30743,Middle Office Specialist - Commodities,"Singapore, Singapore",Operations & Middle Office,Middle Office,onsite,https://career.mlp.com/careers/job/755958325805,755958325805
Millennium,REQ-30727,Full Stack Software Engineer - Equity Research Tools,"Hong Kong, Hong Kong",Information Technology,Equity IT,onsite,https://career.mlp.com/careers/job/755958309023,755958309023
Millennium,REQ-30715,Data Analyst,"Hong Kong, Hong Kong",Trading,Equities,onsite,https://career.mlp.com/careers/job/755958190805,755958190805
Millennium,REQ-30716,AI Engineer,"Hong Kong, Hong Kong",Trading,Equities,onsite,https://career.mlp.com/careers/job/755958192608,755958192608
Millennium,REQ-30684,Equities Technology Relationship Manager,"Hong Kong, Hong Kong",Information Technology,Equity IT,onsite,https://career.mlp.com/careers/job/755958160772,755958160772
Millennium,REQ-30685,Executive Assistant,"Hong Kong, Hong Kong",Trading,Equities,onsite,https://career.mlp.com/careers/job/755958160836,755958160836
Millennium,REQ-30689,Equities Technology Relationship Manager,"London, United Kingdom",Information Technology,Equity IT,onsite,https://career.mlp.com/careers/job/755958167385,755958167385
Millennium,REQ-30690,Quantitative Development - DevOps Engineer,"Dublin, Ireland",Execution Services,Quantitative Research & Development,onsite,https://career.mlp.com/careers/job/755958167716,755958167716
Millennium,REQ-30694,Compliance Analyst (Electronic Communication Surveillance),"Bangalore, Karnataka, India",Compliance,Compliance Surveillance Program,onsite,https://career.mlp.com/careers/job/755958173758,755958173758
Millennium,REQ-30523,Quantitative Developer - Equity Volatility Execution,"Hong Kong, Hong Kong",Information Technology,Equity IT,onsite,https://career.mlp.com/careers/job/755958065522,755958065522
Millennium,REQ-30532,Senior Quantitative Developer (C++) - Execution Technology,"London, United Kingdom",Information Technology,Equity IT,onsite,https://career.mlp.com/careers/job/755958070605,755958070605
Millennium,REQ-30505,AI Data Scientist,"Hong Kong, Hong Kong",Trading,Equities,onsite,https://career.mlp.com/careers/job/755958044949,755958044949
Millennium,REQ-30506,Equity Portfolio Pricing & Valuations Manager,"Mumbai, Maharashtra, India",Operations & Middle Office,Middle Office,onsite,https://career.mlp.com/careers/job/755958045191,755958045191
Millennium,REQ-30491,Facilities Lead - Singapore,"Singapore, Singapore",Corporate Services & Real Estate,Corporate Services,onsite,https://career.mlp.com/careers/job/755958023410,755958023410
Millennium,REQ-30471,"Employment Counsel, EMEA","London, United Kingdom",Legal,Legal,onsite,https://career.mlp.com/careers/job/755957992375,755957992375
Millennium,REQ-30473,Reg Reporting (MiFID) Lead,"Bangalore, Karnataka, India",Operations & Middle Office,Ops & MO Control,onsite,https://career.mlp.com/careers/job/755957994657,755957994657
Millennium,REQ-30456,"Senior Quantitative Engineer, Systematic Cross Commodity","London, United Kingdom",Trading,Quant Strategies,onsite,https://career.mlp.com/careers/job/755957963360,755957963360
Millennium,REQ-30457,Business Analyst (12 Month Fixed Term Contract),"London, United Kingdom",Finance,Core Operations,onsite,https://career.mlp.com/careers/job/755957963692,755957963692
Millennium,REQ-29773,Kdb+ Engineer - Systematic Data Platform,"Hong Kong, Hong Kong",Information Technology,Equity IT,onsite,https://career.mlp.com/careers/job/755956823436,755956823436
Millennium,REQ-30412,Python Software Engineer - Intraday Trading,"London, United Kingdom",Information Technology,Equity IT,onsite,https://career.mlp.com/careers/job/755957919371,755957919371
Millennium,REQ-30376,Equity Volatility Risk Analyst,"Hong Kong, Hong Kong",Risk Management,Equities Risk,onsite,https://career.mlp.com/careers/job/755957885133,755957885133
Millennium,REQ-30377,Network Engineer,"Singapore, Singapore",Information Technology,IT Infrastructure,onsite,https://career.mlp.com/careers/job/755957885726,755957885726
Millennium,REQ-30379,Platform / Site Reliability Engineer,"Bangalore, Karnataka, India",Information Technology,Equity IT,onsite,https://career.mlp.com/careers/job/755957887421,755957887421
Millennium,REQ-30388,Operations Specialist,"Hong Kong, Hong Kong",Operations & Middle Office,Core Operations,onsite,https://career.mlp.com/careers/job/755957892582,755957892582
Millennium,REQ-30320,Senior Relationship Manager - Trading Services,"London, United Kingdom",Trading,Strategic Business Services,onsite,https://career.mlp.com/careers/job/755957827994,755957827994
Millennium,REQ-30321,Trading Services Coordinator,"London, United Kingdom",Trading,Strategic Business Services,onsite,https://career.mlp.com/careers/job/755957828027,755957828027
Millennium,REQ-30326,Core Tech Support Engineer,"Bangalore, Karnataka, India",Information Technology,Equity IT,onsite,https://career.mlp.com/careers/job/755957837799,755957837799
Millennium,REQ-30259,Full Stack Software Engineer - Data Entitlements Platform,"Bangalore, Karnataka, India",Information Technology,FIC & Risk Technology,onsite,https://career.mlp.com/careers/job/755957803492,755957803492
Millennium,REQ-30261,Angular Developer,"Bangalore, Karnataka, India",Information Technology,FIC & Risk Technology,onsite,https://career.mlp.com/careers/job/755957804144,755957804144
Millennium,REQ-30263,Full Stack Software Engineer,"Bangalore, Karnataka, India",Information Technology,FIC & Risk Technology,onsite,https://career.mlp.com/careers/job/755957807569,755957807569
Millennium,REQ-30266,"Quantitative Developer, Research & ML Engineering, Systematic Macro","London, United Kingdom",Trading,Quant Strategies,onsite,https://career.mlp.com/careers/job/755957812756,755957812756
Millennium,REQ-30273,Quantitative Developer / Researcher - Treasury,"London, United Kingdom",Information Technology,FIC & Risk Technology,onsite,https://career.mlp.com/careers/job/755957818999,755957818999
Millennium,REQ-30153,AI Engineer,"Bangalore, Karnataka, India",Information Technology,FIC & Risk Technology,onsite,https://career.mlp.com/careers/job/755957774129,755957774129
Millennium,REQ-30147,Quantitative Researcher,"Dublin, Ireland",Execution Services,Quantitative Research & Development,onsite,https://career.mlp.com/careers/job/755957612044,755957612044
Millennium,REQ-30150,Quantitative Developer – Data Infrastructure,"Dublin, Ireland",Execution Services,Quantitative Research & Development,onsite,https://career.mlp.com/careers/job/755957624276,755957624276
Millennium,REQ-30151,Quantitative Developer – Compute & ML Platform,"Dublin, Ireland",Execution Services,Quantitative Research & Development,onsite,https://career.mlp.com/careers/job/755957624284,755957624284
Millennium,REQ-30156,"Quantitative Developer/Trading Systems Engineer, Systematic Macro","London, United Kingdom",Trading,Quant Strategies,onsite,https://career.mlp.com/careers/job/755957629966,755957629966
Millennium,REQ-30162,Quant Research Engineer,"Hong Kong, Hong Kong",Trading,Quant Strategies,onsite,https://career.mlp.com/careers/job/755957640548,755957640548
Millennium,REQ-30124,Equity Research Analyst,"Bangalore, Karnataka, India",Trading,Equities,onsite,https://career.mlp.com/careers/job/755957548519,755957548519
Millennium,REQ-30125,AI Data Engineer,"Tel Aviv, Israel",Information Technology,IT - Artificial Intelligence,onsite,https://career.mlp.com/careers/job/755957583465,755957583465
Millennium,REQ-30091,Server-Side Engineer (C++) - Pre-Trade Risk Technology,"Singapore, Singapore",Information Technology,Equity IT,onsite,https://career.mlp.com/careers/job/755957532215,755957532215
Millennium,REQ-30088,Deep Learning Quantitative Researcher,"Hong Kong, Hong Kong",Trading,Fixed Income Risk,onsite,https://career.mlp.com/careers/job/755957516253,755957516253
Millennium,REQ-30061,US Tax Operations Analyst,"Dublin, Ireland",Tax,Tax,onsite,https://career.mlp.com/careers/job/755957465941,755957465941
Millennium,REQ-30034,Senior Software Engineer,"Singapore, Singapore",Information Technology,Equity IT,onsite,https://career.mlp.com/careers/job/755957417586,755957417586
